tipus,gyarto,rendszam,szin,vitorlak szama,ferohelyek szama,evjarat,javitas alatt
auto,Infiniti,0115-1474,Turquoise,null,6,1955,true
auto,Honda,64980-180,Blue,null,5,1964,true
auto,Hyundai,0065-0795,Khaki,null,5,1949,true
auto,GMC,51991-817,Aquamarine,null,5,1949,false
auto,Plymouth,49884-580,Purple,null,6,1983,false
auto,Pontiac,37000-293,Blue,null,6,1973,true
auto,Mazda,63629-5320,Indigo,null,6,2016,false
auto,Ford,60793-283,Puce,null,6,1971,false
auto,Infiniti,57520-0241,Turquoise,null,3,1945,false
auto,Acura,49348-047,Aquamarine,null,6,2014,true
auto,Subaru,63717-334,Pink,null,6,2009,false
auto,Toyota,50844-753,Mauv,null,3,1995,false
auto,Mercedes-Benz,60905-0012,Yellow,null,2,1977,false
auto,Buick,52125-433,Khaki,null,7,2007,false
auto,Chevrolet,54569-1218,Mauv,null,2,1956,false
auto,Chevrolet,10812-934,Khaki,null,4,2011,true
auto,Mazda,36987-2115,Purple,null,5,1976,false
auto,Mazda,68788-9836,Turquoise,null,5,2017,true
auto,Maybach,35356-835,Orange,null,7,2001,true
auto,Buick,64942-0832,Orange,null,5,1966,false
auto,Ford,36987-1673,Goldenrod,null,4,2015,true
auto,Mercury,42291-278,Orange,null,7,1969,true
auto,Volkswagen,0378-8270,Puce,null,7,1989,false
auto,Honda,0003-2240,Puce,null,2,2019,true
auto,Ford,50268-637,Maroon,null,2,1958,true
auto,Nissan,43742-0436,Khaki,null,6,1985,false
auto,Volkswagen,49288-0390,Fuscia,null,6,1966,true
auto,Pontiac,49884-340,Khaki,null,3,2006,true
auto,Spyker,46994-915,Mauv,null,3,1976,true
auto,GMC,60681-1702,Yellow,null,4,1969,true
auto,Pontiac,35356-175,Goldenrod,null,7,1994,true
auto,Chrysler,50499-100,Indigo,null,3,1980,true
auto,Nissan,24724-028,Purple,null,4,2010,false
auto,Dodge,43269-855,Crimson,null,6,1987,true
auto,Ford,30142-318,Khaki,null,5,1976,true
auto,Kia,59779-219,Teal,null,3,1987,true
auto,Lamborghini,0363-0214,Puce,null,5,1954,true
auto,BMW,42472-720,Maroon,null,2,2016,false
auto,Volvo,0781-1061,Maroon,null,2,1965,false
auto,Nissan,49781-021,Turquoise,null,2,2006,true
auto,Volkswagen,24202-001,Goldenrod,null,2,1949,true
auto,Jaguar,0517-5034,Indigo,null,5,1963,true
auto,Toyota,76159-002,Red,null,2,1972,false
auto,Kia,0781-7242,Purple,null,7,2011,false
auto,Suzuki,65954-063,Blue,null,2,1959,false
auto,Ford,49643-357,Green,null,4,1982,false
auto,Volvo,68788-9150,Fuscia,null,6,2001,true
auto,Volvo,0186-1073,Orange,null,6,2019,false
auto,Suzuki,28851-693,Turquoise,null,2,1970,false
auto,Ford,21532-1410,Blue,null,5,2019,false
auto,Chrysler,0037-0245,Purple,null,6,2019,true
auto,Honda,36987-3256,Aquamarine,null,7,1959,false
auto,Volkswagen,59667-0102,Khaki,null,3,1983,false
auto,Ford,43857-0275,Indigo,null,6,1982,false
auto,Honda,63941-351,Mauv,null,2,2014,false
auto,Chevrolet,42291-320,Aquamarine,null,4,1953,false
auto,Dodge,0615-6577,Blue,null,2,1954,false
auto,Mercedes-Benz,24385-301,Orange,null,2,1969,true
auto,Dodge,48951-7117,Puce,null,6,1972,false
auto,Mitsubishi,15127-312,Puce,null,4,1953,true
auto,Pontiac,49288-0859,Blue,null,4,1951,false
auto,Ford,0404-0703,Pink,null,6,1991,true
auto,Volvo,49972-006,Maroon,null,6,1980,false
auto,Ford,65597-112,Khaki,null,6,1961,false
auto,Plymouth,59667-0039,Turquoise,null,6,1965,false
auto,BMW,0121-0675,Violet,null,3,1995,true
auto,Mitsubishi,16590-859,Blue,null,6,2000,true
auto,Spyker,45942-1631,Puce,null,7,1957,false
auto,Chevrolet,21130-336,Orange,null,7,1982,false
auto,Ford,0409-7241,Goldenrod,null,7,1952,false
auto,Lotus,0085-1323,Orange,null,4,2005,false
auto,Lexus,67457-495,Turquoise,null,5,1998,true
auto,Suzuki,52183-355,Aquamarine,null,2,2005,false
auto,Chevrolet,36987-2839,Indigo,null,5,1967,true
auto,Buick,61995-2761,Khaki,null,6,2014,true
auto,Volkswagen,0378-0182,Orange,null,6,1947,true
auto,Mercedes-Benz,43742-0421,Pink,null,5,2003,false
auto,Ford,55154-9384,Indigo,null,7,2006,true
auto,Dodge,11673-513,Puce,null,7,1948,true
auto,Pontiac,68428-727,Aquamarine,null,7,2010,false
auto,Dodge,10056-276,Orange,null,4,1950,false
auto,Chevrolet,64380-773,Aquamarine,null,7,1988,true
auto,Maserati,54868-5130,Fuscia,null,3,1966,true
auto,Audi,50730-5201,Orange,null,7,1984,false
auto,Dodge,13537-538,Crimson,null,3,1979,false
auto,Oldsmobile,62802-146,Maroon,null,6,2001,true
auto,Nissan,76336-455,Puce,null,3,1960,false
auto,Volkswagen,59779-080,Indigo,null,6,2010,false
auto,Dodge,43406-0072,Mauv,null,3,1958,false
auto,Chevrolet,55111-189,Crimson,null,7,2010,false
auto,Land Rover,50804-245,Red,null,4,1946,false
auto,BMW,60429-936,Yellow,null,3,2000,false
auto,Jensen,55154-7803,Fuscia,null,2,1981,false
auto,Lotus,52125-028,Purple,null,3,1957,false
auto,Audi,53807-151,Mauv,null,4,1971,false
auto,Toyota,0268-6143,Puce,null,2,1969,false
auto,GMC,66078-505,Pink,null,2,2000,false
auto,Buick,65162-812,Violet,null,4,1967,false
auto,Dodge,98132-731,Goldenrod,null,5,1963,false
auto,Lexus,49348-576,Maroon,null,7,2008,false
auto,Lexus,49035-350,Orange,null,7,1972,false
auto,Hyundai,11489-070,Teal,null,3,2002,false
auto,Lexus,67877-268,Crimson,null,2,1985,false
auto,Chevrolet,0054-0077,Puce,null,7,2015,false
auto,Ford,68645-410,Teal,null,2,1960,false
auto,Mercedes-Benz,49349-105,Puce,null,2,1955,false
auto,Buick,57520-0054,Pink,null,3,2000,false
auto,Nissan,16590-006,Puce,null,4,1962,false
auto,Chevrolet,16590-852,Indigo,null,6,1995,false
auto,Bentley,66949-947,Purple,null,6,1974,false
auto,Toyota,0069-0112,Violet,null,5,1993,false
auto,Chevrolet,0517-0033,Turquoise,null,5,1993,false
auto,Dodge,54868-5162,Maroon,null,7,1951,false
auto,GMC,48951-9085,Aquamarine,null,7,1985,false
auto,Honda,0025-0061,Mauv,null,5,2005,false
auto,Lexus,11489-076,Fuscia,null,4,2000,false
auto,Mazda,24385-590,Maroon,null,6,2017,false
auto,Acura,0268-1522,Teal,null,2,1990,false
auto,Infiniti,10157-9713,Maroon,null,5,2013,false
auto,Volkswagen,13630-0017,Red,null,6,1987,false
auto,Ford,34666-081,Indigo,null,6,1950,false
auto,Chevrolet,52533-008,Khaki,null,2,1998,false
auto,Toyota,33992-8806,Orange,null,4,1980,false
auto,Chevrolet,54868-5912,Mauv,null,7,1970,false
auto,Suzuki,54868-5768,Blue,null,5,2006,false
auto,Jaguar,43063-052,Pink,null,5,1995,false
auto,Chevrolet,10819-5003,Orange,null,7,2003,false
auto,Mercury,68479-706,Maroon,null,3,2006,false
auto,Cadillac,48951-7092,Goldenrod,null,2,1991,false
auto,Oldsmobile,68788-9545,Orange,null,2,1945,false
auto,Dodge,63304-214,Orange,null,3,1972,false
auto,Mercury,36987-1453,Aquamarine,null,5,2003,false
auto,Mercedes-Benz,51346-213,Green,null,3,1970,false
auto,Chevrolet,50405-007,Teal,null,3,2009,false
auto,Subaru,69231-002,Puce,null,6,2019,false
auto,Ford,68084-551,Red,null,5,1964,false
auto,Suzuki,66215-402,Green,null,2,2011,false
auto,Acura,54575-214,Blue,null,6,2003,false
auto,Mitsubishi,76045-003,Turquoise,null,5,1945,false
auto,Chevrolet,41167-4131,Teal,null,7,1986,false
auto,Lincoln,53808-0205,Khaki,null,5,1978,false
auto,Infiniti,0682-3001,Yellow,null,7,2000,false
auto,Alfa Romeo,0699-0001,Indigo,null,3,1989,false
auto,Chrysler,68258-3046,Crimson,null,5,2002,false
auto,Mercury,52125-882,Fuscia,null,5,1994,false
auto,Mercedes-Benz,55316-166,Aquamarine,null,3,1962,false
auto,Ford,0093-4068,Purple,null,6,1993,true
auto,Bentley,62802-183,Puce,null,5,1964,false
auto,Chevrolet,52667-001,Goldenrod,null,7,1968,true
auto,Chevrolet,36987-2975,Indigo,null,3,1955,false
auto,BMW,37000-086,Goldenrod,null,2,1969,false
auto,Honda,0268-6133,Crimson,null,2,1969,false
auto,Chevrolet,59900-120,Crimson,null,4,2005,false
auto,Kia,44717-536,Khaki,null,6,1959,false
auto,Pontiac,0228-3093,Crimson,null,2,1953,false
auto,Lexus,0703-5145,Pink,null,7,1998,true
auto,Mercury,68428-132,Purple,null,3,1998,false
auto,Mercury,52686-287,Aquamarine,null,6,2013,false
auto,Kia,59779-416,Aquamarine,null,2,1945,false
auto,Volvo,50845-0036,Blue,null,4,1954,true
auto,Toyota,52959-689,Yellow,null,7,2017,true
auto,Dodge,0591-0605,Khaki,null,6,2006,true
auto,Toyota,57619-300,Khaki,null,3,1958,false
auto,Mercury,0781-3114,Crimson,null,5,2011,false
auto,Mercedes-Benz,68016-155,Red,null,2,1948,true
auto,Eagle,60760-495,Pink,null,6,1986,true
auto,Dodge,63941-351,Green,null,3,2015,false
auto,Ford,49884-763,Puce,null,2,1953,false
auto,Chevrolet,61957-1420,Aquamarine,null,5,2008,true
auto,Geo,11994-427,Teal,null,5,1994,false
auto,Pontiac,0603-5684,Red,null,4,1950,false
hajo,Chevrolet,10819-5003,Orange,4,3,1975,true
hajo,Mercury,68479-706,Maroon,0,6,1959,true
hajo,Cadillac,48951-7092,Goldenrod,1,4,1971,true
hajo,Oldsmobile,68788-9545,Orange,4,3,1968,true
hajo,Dodge,63304-214,Orange,3,7,1975,true
hajo,Mercury,36987-1453,Aquamarine,3,6,2008,true
hajo,Mercedes-Benz,51346-213,Green,1,6,2003,true
hajo,Chevrolet,50405-007,Teal,3,6,1982,false
hajo,Subaru,69231-002,Puce,0,7,1986,false
hajo,Ford,68084-551,Red,0,3,1975,false
hajo,Suzuki,66215-402,Green,5,5,1983,true
hajo,Acura,54575-214,Blue,4,3,1976,true
hajo,Mitsubishi,76045-003,Turquoise,1,2,1987,false
hajo,Chevrolet,41167-4131,Teal,0,5,1948,false
hajo,Lincoln,53808-0205,Khaki,0,5,1965,true
hajo,Infiniti,0682-3001,Yellow,4,5,1970,false
hajo,Alfa Romeo,0699-0001,Indigo,1,6,1984,true
hajo,Chrysler,68258-3046,Crimson,0,4,2001,true
hajo,Mercury,52125-882,Fuscia,1,4,1995,false
hajo,Mercedes-Benz,55316-166,Aquamarine,5,3,1966,true
hajo,Ford,0093-4068,Purple,4,4,2009,false
hajo,Bentley,62802-183,Puce,1,4,2000,true
hajo,Chevrolet,52667-001,Goldenrod,1,5,2008,false
hajo,Chevrolet,36987-2975,Indigo,1,3,1968,false
hajo,BMW,37000-086,Goldenrod,1,3,1970,true
